"サービス","OpenSearch Service($)","Savings Plans for  Compute usage($)","Support (Enterprise)($)","Relational Database Service($)","Tax($)","S3($)","Elastic Container Service($)","CloudFront($)","Redshift($)","CloudWatch($)","ElastiCache($)","CloudFront Security Bundle($)","VPC($)","Elastic Load Balancing($)","GuardDuty($)","CloudTrail($)","EC2 その他($)","Kinesis Firehose($)","WAF($)","EC2 Container Registry (ECR)($)","Global Accelerator($)","EC2 インスタンス($)","Athena($)","Lambda($)","Key Management Service($)","Config($)","Route 53($)","SQS($)","Managed Grafana($)","Cost Explorer($)","Secrets Manager($)","CloudWatch Events($)","CodePipeline($)","SES($)","Elastic File System($)","CodeBuild($)","Systems Manager($)","SNS($)","API Gateway($)","Location Service($)","CloudShell($)","Step Functions($)","Glue($)","DynamoDB($)","Elastic Container Registry Public($)","QuickSight($)","Certificate Manager($)","X-Ray($)","CloudFormation($)","Refund($)","合計コスト($)"
"2025-10-28","18.9302030434","0","","33.0263415166","","53.6936819532","18.7455491386","12.9347603789","4.6900320469","15.8950765267","0","","12.6989406441","12.6713982062","4.423124201","1.387838","9.1027031629","7.8428800966","1.225806444","2.5631029977","2.405753532","0.0374490389","0.11838","1.2642781172","1.020749064","0.108","0.3710944","0.3121260248","","0.0857316129","0.0129032256","0.012141","","0.0019031496","0.0001634759","","","0.0000024191","","","","","0","0","0","0","","","","","215.5821134168"
"2025-10-29","18.9359328241","0","","32.5840279923","","54.4427255661","20.5245358408","13.0950771502","5.1511039815","15.8921171625","0","","12.7045947488","12.4809414522","4.444272919","1.32174","9.0969941635","7.8719960982","1.225806444","2.5648523546","2.4077954849","0.0306655443","0.00965","1.1545471211","1.021676064","0.111","0.36709","0.3194101","","0.0856216129","0.0129032256","0.012031","","0.0032053095","0.0001639044","","","0.0000014493","","","","","0","0","0","0","","","","","217.8724795138"
"2025-10-30","18.9320455434","0","","33.7976239177","","54.5135720102","22.7998034166","13.5482342818","5.4804490195","16.6482424695","0","","12.7002218401","12.6412104371","4.9046131854","1.692157","9.2462525817","8.0756991016","1.225806444","2.5671975821","2.4071392345","0.0328946859","0.197045","1.2451939751","1.022063064","0.12","0.3670408","0.3414456","","0.0854851613","0.0129032256","0.011946","","0.0026043163","0.0001664358","","","0.0000007245","","","","","0","0","0","0","","","","","224.6190570537"
"2025-10-31","18.9315014767","0","","34.1096699655","","54.6837326791","22.2271257718","13.2541711261","4.6242118463","16.0995958248","0","","12.7123372484","12.4228637524","4.6126981026","1.459367","9.1383617577","8.2112013818","1.225806444","2.5668958752","2.4132813958","0.0358675592","0.05184","1.3117606411","1.015649064","0.081","0.3667796","0.3605709","","0.1566066667","0.0129032256","0.011894","","0.0009014934","0.0001688128","","","0.0000007246","","0.00001","","","0","0","0","0","","","","","222.0987743356"
"2025-11-01","19.5001792125","0","1228.17","1354.0293360432","1081.47","55.5921672871","8.622921464","5.0110188693","724.5587692353","7.5504828926","105.408","950","12.6972199176","11.7717563596","3.743813357","0.856833","6.3680689113","3.9860149381","1.2666666744","2.6524591742","2.4099643624","0.0000071498","0.00955","0.0000047873","0.9571263336","0.141","2.2821936","0.059112","","0.0860093333","0.0133333344","0.012022","0","0.0011018221","0.0001753863","0","","0","","","","","0","0","0","0","","","","","5589.2273074454"
"2025-11-02","19.4969735856","0","","29.1936354211","","55.6147930166","9.1837340486","4.5520214835","5.151598473","12.3371453774","0","","12.7006925771","11.6814861769","3.7742991017","0.824338","6.2212968336","3.6458007995","1.2666666744","2.652459108","2.4136185806","0","0.0096","0.0000022742","1.0167783336","0.078","0.24937","0.1599765","","0.093371","0.0133333344","0.011683","","0.0003004954","0.0001756152","","","0","","","","","0","0","0","0","","","","","182.3431498104"
"2025-11-03","19.5096921396","0","","28.070497072","","55.8252286347","10.346691764","6.2221364986","4.8881610445","13.5946950372","0","","12.6958186473","11.8077289484","3.8922547634","0.936285","6.4326372657","3.9762942699","1.2666666744","2.652459108","2.4067491149","0","0.0096","0.0000041149","1.0179063336","0.102","0.2409712","0.3010452","","0.0861936667","0.0133333344","0.011722","","0.0010014899","0.0001767588","","","0","","0.00001","","","0","0","0","0","","","","","186.3079600809"
"2025-11-04","19.5686452859","0","","33.7465196026","","55.9903939765","22.2762195899","13.5630603585","5.7446520402","15.0077455039","0","","12.7006026188","12.4085621093","4.7125263918","1.437448","9.5250354566","8.3107442099","1.2666666744","2.6549566291","2.4131221092","0","0.0614","0.000010065","1.0311033336","0.111","0.3914152","0.3575908","9","0.0861363333","0.0133383344","0.012059","","0.0026043056","0.000178954","","","0","0.00000516","","","","0","0","0","0","","","","","232.3937420425"
"2025-11-05","19.5649558208","0","","34.6951109497","","57.0810395444","21.3308420126","10.5196838811","6.1399087593","18.1504600606","0","","12.7038637878","12.4395341767","7.5231862147","4.216698","9.2968299962","8.1273710629","1.2666666744","2.6566683618","2.4096897327","0","5.257715","0.0000151433","1.0222593336","0.123","0.3263012","0.3669589","","0.0859763333","0.0133333344","0.011899","","0.0040066385","0.0001843365","","","0","","","","","0","0","0","0","","","","","235.3341582553"
"2025-11-06","19.568453038","0","","34.4806626162","","59.1159337191","20.9996836616","6.7977882893","5.6788586704","14.9914287684","0","","12.7022340428","12.3487311684","4.5926834582","1.365986","9.141229643","7.9473300368","1.2666666744","2.660572889","2.4106970114","0.0340220415","0.0096","0.1721746547","1.0304373336","0.108","0.3892384","0.3356012","","0.0860416667","0.0133333344","0.012062","","0.0052086106","0.0001868831","","","0.0000007245","0.0000055365","","","","0","0","0","0","","","","","218.2648520726"
"2025-11-07","19.5785261695","0","","35.5954380719","","62.5662104935","22.4884305189","6.2344920709","5.217805841","14.9132880979","0","","12.6996736472","12.3600459548","4.6195500027","1.344552","9.282441096","8.1291173749","1.2666666744","2.662370095","2.4138002749","0.0271383098","0.045395","1.4586427136","1.0188933336","0.108","0.3593876","0.3505487","","0.086126","0.0133483344","0.011874","","0.0064105885","0.0001865982","","","0.0000048306","","","","","0","0","0","0","","","","","224.8583643922"
"2025-11-08","19.5095188692","0","","31.0563362221","","56.5337121995","9.4775345478","8.6915391659","4.6908949921","13.476824046","0","","12.6945266635","11.8184359081","3.7498005353","0.747632","6.0001811428","3.5523423387","1.2666666744","2.6625282624","2.4102366575","0.0128982955","0.00955","0.891639663","1.0154943336","0.072","0.2256468","0.2728548","","0.0861576667","0.0133333344","0.01174","","0.0006009916","0.000186516","","","0.0000019323","","","","","0","0","0","0","","","","","190.9508145584"
